co#	ordertype	ordertypedesc	order	orderdate	ordercount	linecount	shippedorders	shippedlines	invoicedorders	invoicedlines	sales_(eur)
08300	SO	Sales Order	20074857	2020-05-25	1	5	1	5	1	5	1596
08300	SO	Sales Order	20074868	2020-05-25	1	5	1	5	1	2	1418
08300	SO	Sales Order	20075089	2020-05-25	1	5	1	5	1	4	0
08300	SO	Sales Order	20075134	2020-05-25	1	1	1	1	1	1	308
08300	SO	Sales Order	20075183	2020-05-25	1	3	1	3	1	3	1355
08300	ST	Transfer Sales Order	20074641	2020-05-25	1	8	1	8	1	5	8801
08300	SZ	EDI Sales Order	20074737	2020-05-25	1	2	1	2	0	0	0
08300	SZ	EDI Sales Order	20074753	2020-05-25	1	1	1	1	1	1	9000
08300	SZ	EDI Sales Order	20074935	2020-05-25	1	4	1	4	1	4	1153
08300	SZ	EDI Sales Order	20075075	2020-05-25	1	1	1	1	1	1	50
08300	SZ	EDI Sales Order	20075154	2020-05-25	1	1	1	1	1	1	1295
08300	SZ	EDI Sales Order	20075189	2020-05-25	1	3	1	3	1	3	2518
08300	SZ	EDI Sales Order	20075239	2020-05-25	1	3	1	3	0	0	0
08300	SZ	EDI Sales Order	20075415	2020-05-25	1	1	1	1	1	1	0
08300	CF	Misc Credit	20075505	2020-05-26	1	1	1	1	1	1	-1061
08300	CO	Credit note Customer Return	20075812	2020-05-26	1	1	1	1	1	1	-900
08300	DC	Deemed Commission Invoice	20000404	2020-05-26	1	235	1	235	1	235	64431
08300	DC	Deemed Commission Invoice	20000405	2020-05-26	1	26	1	26	1	26	5749
08300	DQ	Miscellaneous Debit	20075506	2020-05-26	1	1	1	1	1	1	1082
08300	S4	Do Not Use	20080900	2020-05-26	1	1	1	1	1	1	0
08300	S4	Do Not Use	20075869	2020-05-26	1	1	1	1	1	1	0
08300	SO	Sales Order	20075335	2020-05-26	1	1	1	1	1	1	80
08300	SO	Sales Order	20075440	2020-05-26	1	5	1	5	1	5	1090
08300	SO	Sales Order	20075516	2020-05-26	1	8	1	8	1	8	1955
08300	SO	Sales Order	20075904	2020-05-26	1	8	1	8	1	8	0
08300	SZ	EDI Sales Order	20075463	2020-05-26	1	1	1	1	1	1	1140
08300	SZ	EDI Sales Order	20075507	2020-05-26	1	3	1	3	1	3	2258
08300	SZ	EDI Sales Order	20075652	2020-05-26	1	4	1	4	1	4	2380
08300	SZ	EDI Sales Order	20075746	2020-05-26	1	2	1	2	1	2	1152
08300	SZ	EDI Sales Order	20075806	2020-05-26	1	3	1	3	1	3	424
08300	SZ	EDI Sales Order	20076101	2020-05-26	1	12	1	12	1	12	21187
08300	CF	Misc Credit	20076573	2020-05-27	1	1	1	1	1	1	-17
08300	CO	Credit note Customer Return	20076103	2020-05-27	1	2	1	2	1	2	-1476
08300	DB	Deemed Commission CrNote	20000261	2020-05-27	1	1	1	1	1	1	-339
08300	DC	Deemed Commission Invoice	20000408	2020-05-27	1	324	1	324	1	324	119650
08300	S4	Do Not Use	20076440	2020-05-27	1	5	1	5	1	5	0
08300	S4	Do Not Use	20076618	2020-05-27	1	1	1	1	1	1	0
08300	SO	Sales Order	20076192	2020-05-27	1	4	1	4	0	0	62
08300	SO	Sales Order	20076236	2020-05-27	1	12	1	12	1	11	1686
08300	SO	Sales Order	20076240	2020-05-27	1	4	1	4	1	4	1909
08300	SO	Sales Order	20076459	2020-05-27	1	1	1	1	1	1	0
08300	SZ	EDI Sales Order	20076139	2020-05-27	1	5	1	5	1	4	1401
08300	SZ	EDI Sales Order	20076151	2020-05-27	1	2	1	2	1	2	193
08300	SZ	EDI Sales Order	20076167	2020-05-27	1	1	1	1	1	1	2884
08300	SZ	EDI Sales Order	20076222	2020-05-27	1	7	1	7	1	6	341
08300	SZ	EDI Sales Order	20076249	2020-05-27	1	2	1	2	1	2	2327
08300	SZ	EDI Sales Order	20076284	2020-05-27	1	1	1	1	1	1	95
08300	SZ	EDI Sales Order	20076289	2020-05-27	1	1	1	1	1	1	38
08300	SZ	EDI Sales Order	20076318	2020-05-27	1	1	1	1	1	1	1056
08300	SZ	EDI Sales Order	20076493	2020-05-27	1	5	1	5	1	5	2213
08300	SZ	EDI Sales Order	20076512	2020-05-27	1	1	1	1	0	0	0
08300	CO	Credit note Customer Return	20077165	2020-05-28	1	1	1	1	1	1	-14
08300	DI	Deemed Invoice (Rev)	20000411	2020-05-28	1	27	1	27	1	27	-24864
08300	S4	Do Not Use	20077416	2020-05-28	1	3	1	3	1	3	0
08300	SO	Sales Order	20076982	2020-05-28	1	1	1	1	0	0	0
08300	SO	Sales Order	20077053	2020-05-28	1	6	1	6	1	6	16296
08300	SZ	EDI Sales Order	20076854	2020-05-28	1	4	1	2	1	2	460
08300	SZ	EDI Sales Order	20077106	2020-05-28	1	2	1	2	1	2	1763
08300	SZ	EDI Sales Order	20077139	2020-05-28	1	1	1	1	1	1	45
08300	SZ	EDI Sales Order	20077257	2020-05-28	1	2	1	2	1	1	1728
08300	SZ	EDI Sales Order	20077260	2020-05-28	1	1	1	1	1	1	120
08300	SZ	EDI Sales Order	20077273	2020-05-28	1	1	1	1	1	1	255
08300	SZ	EDI Sales Order	20077312	2020-05-28	1	1	1	1	1	1	936
08300	SZ	EDI Sales Order	20077581	2020-05-28	1	6	1	6	1	6	2110
08300	CO	Credit note Customer Return	20077557	2020-05-29	1	1	1	1	1	1	-293
08300	CO	Credit note Customer Return	20078104	2020-05-29	1	1	1	1	1	1	-2112
08300	DI	Deemed Invoice (Rev)	20000414	2020-05-29	1	178	1	178	1	178	-140844
08300	S4	Do Not Use	20078121	2020-05-29	1	1	1	1	1	1	0
08300	SA	Sample Order	20078077	2020-05-29	1	2	1	2	1	1	0
08300	SO	Sales Order	20077521	2020-05-29	1	7	1	6	1	6	3090
08300	SO	Sales Order	20077549	2020-05-29	1	8	1	7	1	7	7430
08300	SO	Sales Order	20077735	2020-05-29	1	2	1	2	1	2	1614
08300	SO	Sales Order	20077760	2020-05-29	1	9	1	9	1	9	1195
08300	SZ	EDI Sales Order	20077559	2020-05-29	1	1	1	1	1	1	1215
08300	SZ	EDI Sales Order	20077585	2020-05-29	1	2	1	2	1	2	2015
08300	SZ	EDI Sales Order	20077622	2020-05-29	1	1	1	1	0	0	0
08300	SZ	EDI Sales Order	20077706	2020-05-29	1	2	1	2	1	2	1877
08300	SZ	EDI Sales Order	20077806	2020-05-29	1	3	1	3	1	3	1355
08300	SZ	EDI Sales Order	20077869	2020-05-29	1	4	1	4	1	4	920
08300	CF	Misc Credit	20072434	2020-05-19	1	3	1	3	1	3	-3240
08300	S4	Do Not Use	20072618	2020-05-19	1	1	1	1	1	1	0
08300	S4	Do Not Use	20072647	2020-05-19	1	1	1	1	1	1	0
08300	SO	Sales Order	20072031	2020-05-19	1	1	1	1	1	1	30
08300	SO	Sales Order	20072260	2020-05-19	1	4	1	4	1	4	0
08300	SO	Sales Order	20072332	2020-05-19	1	2	1	2	1	2	1440
08300	SZ	EDI Sales Order	20072170	2020-05-19	1	1	1	1	1	1	270
08300	SZ	EDI Sales Order	20072199	2020-05-19	1	2	1	2	1	2	560
08300	SZ	EDI Sales Order	20072390	2020-05-19	1	1	1	1	1	1	216
08300	SZ	EDI Sales Order	20072544	2020-05-19	1	1	1	1	1	1	1296
08300	SZ	EDI Sales Order	20072568	2020-05-19	1	1	1	1	1	1	198
08300	CO	Credit note Customer Return	20072822	2020-05-20	1	1	1	1	1	1	-129
08300	SO	Sales Order	20072767	2020-05-20	1	1	1	1	1	1	324
08300	SO	Sales Order	20072770	2020-05-20	1	5	1	5	1	5	1331
08300	SO	Sales Order	20073056	2020-05-20	1	1	1	1	1	1	0
08300	SO	Sales Order	20073063	2020-05-20	1	1	1	1	1	1	593
08300	SO	Sales Order	20073201	2020-05-20	1	1	1	1	1	1	105
08300	SO	Sales Order	20073205	2020-05-20	1	1	1	1	1	1	50
08300	SO	Sales Order	20073368	2020-05-20	1	17	1	17	1	14	3044
08300	SO	Sales Order	20073464	2020-05-20	1	1	1	1	0	0	0
08300	SZ	EDI Sales Order	20072922	2020-05-20	1	2	1	2	1	2	3620
08300	SZ	EDI Sales Order	20073006	2020-05-20	1	1	1	1	1	1	60
08300	SZ	EDI Sales Order	20073186	2020-05-20	1	1	1	1	1	1	450
08300	SZ	EDI Sales Order	20073198	2020-05-20	1	2	1	2	1	2	1200
08300	SZ	EDI Sales Order	20073220	2020-05-20	1	2	1	2	1	2	3072
08300	SZ	EDI Sales Order	20073246	2020-05-20	1	16	1	16	1	16	42766
08300	SZ	EDI Sales Order	20073289	2020-05-20	1	1	1	1	1	1	896
08300	SZ	EDI Sales Order	20073312	2020-05-20	1	10	1	10	1	9	7223
08300	SZ	EDI Sales Order	20073524	2020-05-20	1	1	1	1	1	1	180
08300	S4	Do Not Use	20073822	2020-05-22	1	1	1	1	1	1	0
08300	SA	Sample Order	20074042	2020-05-22	1	1	1	1	1	1	0
08300	SZ	EDI Sales Order	20073779	2020-05-22	1	4	1	4	1	4	4608
08300	SZ	EDI Sales Order	20073841	2020-05-22	1	1	1	1	1	1	3450
08300	SZ	EDI Sales Order	20073878	2020-05-22	1	12	1	12	1	12	5507
08300	SZ	EDI Sales Order	20073991	2020-05-22	1	1	1	1	1	1	74
08300	DI	Deemed Invoice (Rev)	20000398	2020-05-23	1	176	1	176	1	176	-120257
08300	S4	Do Not Use	20074549	2020-05-24	1	1	1	1	1	1	0
08300	DK	Deemed Invoice (Rev) FOC	20000082	2020-05-25	1	1	1	1	1	1	0
08300	DQ	Miscellaneous Debit	20075034	2020-05-25	1	1	1	1	1	1	540
08300	S4	Do Not Use	20075316	2020-05-25	1	1	1	1	1	1	63
08300	SO	Sales Order	20074754	2020-05-25	1	2	1	2	1	2	0
08300	SO	Sales Order	20074815	2020-05-25	1	2	1	2	1	2	1296
08300	SO	Sales Order	20074997	2020-05-25	1	3	1	3	1	3	2379
08300	SZ	EDI Sales Order	20074723	2020-05-25	1	2	1	2	1	2	216
08300	SZ	EDI Sales Order	20074794	2020-05-25	1	1	1	1	1	1	1043
08300	SZ	EDI Sales Order	20074795	2020-05-25	1	2	1	2	1	2	287
08300	SZ	EDI Sales Order	20074808	2020-05-25	1	4	1	4	1	4	2971
08300	SZ	EDI Sales Order	20074876	2020-05-25	1	6	1	6	1	6	1919
08300	SZ	EDI Sales Order	20074884	2020-05-25	1	1	1	1	1	1	47
08300	SZ	EDI Sales Order	20075152	2020-05-25	1	6	1	6	1	6	527
08300	SZ	EDI Sales Order	20075153	2020-05-25	1	1	1	1	1	1	3360
08300	S4	Do Not Use	20075873	2020-05-26	1	4	1	4	1	4	0
08300	SO	Sales Order	20075475	2020-05-26	1	2	1	2	1	1	646
08300	SO	Sales Order	20075881	2020-05-26	1	5	1	5	1	5	2316
08300	SO	Sales Order	20075896	2020-05-26	1	10	1	10	1	10	0
08300	SZ	EDI Sales Order	20075444	2020-05-26	1	2	1	2	1	2	2259
08300	SZ	EDI Sales Order	20075557	2020-05-26	1	1	1	1	1	1	57
08300	SZ	EDI Sales Order	20075602	2020-05-26	1	6	1	6	1	6	1424
08300	SZ	EDI Sales Order	20075658	2020-05-26	1	5	1	5	1	5	6768
08300	SZ	EDI Sales Order	20075712	2020-05-26	1	4	1	4	1	4	500
08300	SZ	EDI Sales Order	20075757	2020-05-26	1	4	1	4	1	4	2334
08300	SZ	EDI Sales Order	20075891	2020-05-26	1	1	1	1	1	1	43
08300	SZ	EDI Sales Order	20075899	2020-05-26	1	4	1	4	1	4	1080
08300	SZ	EDI Sales Order	20076089	2020-05-26	1	4	1	4	1	3	1442
08300	CF	Misc Credit	20076142	2020-05-27	1	1	1	1	1	1	-870
08300	DH	Deemed CrNote (Rev)	20000263	2020-05-27	1	43	1	43	1	43	28007
08300	DI	Deemed Invoice (Rev)	20000406	2020-05-27	1	324	1	324	1	324	-373906
08300	DK	Deemed Invoice (Rev) FOC	20000085	2020-05-27	1	2	1	2	1	2	0
08300	SO	Sales Order	20076010	2020-05-27	1	6	1	6	1	6	1547
08300	SZ	EDI Sales Order	20076226	2020-05-27	1	2	1	2	1	2	8220
08300	SZ	EDI Sales Order	20076257	2020-05-27	1	2	1	2	1	2	388
08300	SZ	EDI Sales Order	20076261	2020-05-27	1	1	1	1	1	1	1170
08300	SZ	EDI Sales Order	20076503	2020-05-27	1	3	1	3	1	3	396
08300	SZ	EDI Sales Order	20076535	2020-05-27	1	1	1	1	1	1	40
08300	SZ	EDI Sales Order	20077160	2020-05-27	1	5	1	5	1	4	486
08300	DH	Deemed CrNote (Rev)	20000266	2020-05-28	1	10	1	10	1	10	7427
08300	S4	Do Not Use	20076777	2020-05-28	1	1	1	1	1	1	0
08300	SO	Sales Order	20077068	2020-05-28	1	7	1	7	1	7	2646
08300	SO	Sales Order	20077092	2020-05-28	1	3	1	3	1	2	466
08300	SO	Sales Order	20077218	2020-05-28	1	8	1	5	1	3	1334
08300	SO	Sales Order	20077283	2020-05-28	1	1	1	1	1	1	5806
08300	SO	Sales Order	20077441	2020-05-28	1	2	1	2	0	0	0
08300	SZ	EDI Sales Order	20076993	2020-05-28	1	1	1	1	1	1	816
08300	SZ	EDI Sales Order	20077043	2020-05-28	1	2	1	2	1	2	525
08300	SZ	EDI Sales Order	20077149	2020-05-28	1	13	1	13	1	9	4095
08300	SZ	EDI Sales Order	20077244	2020-05-28	1	2	1	2	1	2	239
08300	CF	Misc Credit	20077564	2020-05-29	1	4	1	4	1	4	-3854
08300	DB	Deemed Commission CrNote	20000267	2020-05-29	1	1	1	1	1	1	-337
08300	DR	Deemed Move - Drop Shipment	20004915	2020-05-29	1	2	1	2	1	2	0
08300	S4	Do Not Use	20077851	2020-05-29	1	2	1	2	1	2	0
08300	S4	Do Not Use	20078202	2020-05-29	1	1	1	1	1	1	0
08300	SO	Sales Order	20077506	2020-05-29	1	7	1	7	0	0	0
08300	SO	Sales Order	20077525	2020-05-29	1	2	1	2	1	2	1932
08300	SO	Sales Order	20077527	2020-05-29	1	7	1	7	1	7	29304
08300	SO	Sales Order	20077618	2020-05-29	1	3	1	3	1	3	1963
08300	SO	Sales Order	20077624	2020-05-29	1	2	1	2	1	2	0
08300	SO	Sales Order	20077818	2020-05-29	1	1	1	1	1	1	0
08300	SU	Home Patient Order	20077732	2020-05-29	1	2	1	2	1	2	64
08300	SZ	EDI Sales Order	20077644	2020-05-29	1	8	1	8	1	8	5142
08300	SZ	EDI Sales Order	20077946	2020-05-29	1	2	1	2	1	2	1192
08300	SZ	EDI Sales Order	20077983	2020-05-29	1	1	1	1	1	1	1504
08300	SZ	EDI Sales Order	20077989	2020-05-29	1	1	1	1	1	1	910
08300	SZ	EDI Sales Order	20077992	2020-05-29	1	1	1	1	1	1	2520
08300	SZ	EDI Sales Order	20078083	2020-05-29	1	1	1	1	1	1	504
08300	SZ	EDI Sales Order	20078276	2020-05-29	1	1	1	1	1	1	104
08300	SZ	EDI Sales Order	20079178	2020-05-29	1	5	1	5	1	5	3356
08300	S4	Do Not Use	20078350	2020-05-30	1	2	1	2	1	2	0
08300	SO	Sales Order	20078371	2020-05-30	1	5	1	5	1	5	0
08300	S4	Do Not Use	20078592	2020-05-31	1	4	1	4	1	4	0
08300	S4	Do Not Use	20078628	2020-05-31	1	6	1	6	1	6	0
08300	S4	Do Not Use	20078629	2020-05-31	1	7	1	7	1	7	0
08300	SO	Sales Order	20078386	2020-05-31	1	5	1	5	1	5	0
08300	CO	Credit note Customer Return	20078941	2020-06-01	1	21	1	21	1	21	-901
08300	DQ	Miscellaneous Debit	20078971	2020-06-01	1	2	1	2	1	2	1152
08300	DQ	Miscellaneous Debit	20079062	2020-06-01	1	1	1	1	1	1	561
08300	DQ	Miscellaneous Debit	20079063	2020-06-01	1	1	1	1	0	0	0
08300	DQ	Miscellaneous Debit	20079081	2020-06-01	1	1	1	1	1	1	978
08300	DQ	Miscellaneous Debit	20079119	2020-06-01	1	1	1	1	1	1	3699
08300	DQ	Miscellaneous Debit	20086776	2020-06-01	1	1	1	1	1	1	5425
08300	S4	Do Not Use	20078843	2020-06-01	1	2	1	2	1	2	0
08300	SO	Sales Order	20078697	2020-06-01	1	3	1	3	1	3	0
08300	SO	Sales Order	20078703	2020-06-01	1	9	1	9	1	9	4233
08300	SO	Sales Order	20078966	2020-06-01	1	18	1	18	1	18	5147
08300	CF	Misc Credit	20079562	2020-06-02	1	1	1	1	1	1	-74
08300	DC	Deemed Commission Invoice	20000421	2020-06-02	1	42	1	42	1	42	3100
08300	SO	Sales Order	20079150	2020-06-02	1	2	1	2	1	2	1185
08300	SO	Sales Order	20079165	2020-06-02	1	2	1	2	1	2	896
08300	SO	Sales Order	20079337	2020-06-02	1	6	1	6	1	3	572
08300	SO	Sales Order	20079561	2020-06-02	1	2	1	2	1	1	140
08300	SO	Sales Order	20079695	2020-06-02	1	2	1	2	1	2	2944
08300	ST	Transfer Sales Order	20079787	2020-06-02	1	1	1	1	1	1	1867
08300	DI	Deemed Invoice (Rev)	20000384	2020-05-19	1	238	1	238	1	238	-215842
08300	DI	Deemed Invoice (Rev)	20000385	2020-05-19	1	114	1	114	1	114	-46789
08300	DQ	Miscellaneous Debit	20072314	2020-05-19	1	1	1	1	1	1	43543
08300	DQ	Miscellaneous Debit	20072435	2020-05-19	1	3	1	3	1	3	3024
08300	DQ	Miscellaneous Debit	20072443	2020-05-19	1	3	1	3	1	3	3024
08300	S4	Do Not Use	20072222	2020-05-19	1	1	1	1	1	1	0
08300	S4	Do Not Use	20072512	2020-05-19	1	1	1	1	1	1	0
08300	SO	Sales Order	20072029	2020-05-19	1	3	1	3	0	0	0
08300	SO	Sales Order	20072126	2020-05-19	1	2	1	2	1	2	864
08300	SO	Sales Order	20072261	2020-05-19	1	1	1	1	1	1	1208
08300	SO	Sales Order	20072379	2020-05-19	1	1	1	1	1	1	406
08300	SO	Sales Order	20072465	2020-05-19	1	1	1	1	1	1	142
08300	SO	Sales Order	20072659	2020-05-19	1	2	1	2	1	2	330
08300	SO	Sales Order	20072661	2020-05-19	1	2	1	2	1	2	0
08300	SZ	EDI Sales Order	20072049	2020-05-19	1	3	1	3	1	3	1158
08300	SZ	EDI Sales Order	20072087	2020-05-19	1	1	1	1	1	1	470
08300	SZ	EDI Sales Order	20072202	2020-05-19	1	2	1	2	1	2	585
08300	SZ	EDI Sales Order	20072241	2020-05-19	1	2	1	2	1	2	6300
08300	SZ	EDI Sales Order	20072268	2020-05-19	1	2	1	2	1	2	1344
08300	SZ	EDI Sales Order	20072319	2020-05-19	1	4	1	4	1	4	3315
08300	SZ	EDI Sales Order	20072386	2020-05-19	1	1	1	1	1	1	157
08300	SZ	EDI Sales Order	20072444	2020-05-19	1	3	1	3	1	3	1614
08300	SZ	EDI Sales Order	20072572	2020-05-19	1	5	1	5	1	5	7260
08300	SZ	EDI Sales Order	20072573	2020-05-19	1	1	1	1	1	1	2280
08300	CO	Credit note Customer Return	20073048	2020-05-20	1	1	1	1	1	1	-541
08300	DH	Deemed CrNote (Rev)	20000252	2020-05-20	1	2	1	2	1	2	670
08300	DI	Deemed Invoice (Rev)	20000388	2020-05-20	1	327	1	327	1	327	-246353
08300	S4	Do Not Use	20073340	2020-05-20	1	2	1	2	1	2	0
08300	S4	Do Not Use	20073460	2020-05-20	1	1	1	1	1	1	0
08300	S4	Do Not Use	20073504	2020-05-20	1	1	1	1	1	1	0
08300	SO	Sales Order	20072821	2020-05-20	1	2	1	2	1	2	600
08300	SO	Sales Order	20072850	2020-05-20	1	4	1	4	1	4	0
08300	SO	Sales Order	20072905	2020-05-20	1	6	1	6	1	6	1800
08300	SO	Sales Order	20073227	2020-05-20	1	4	1	4	1	4	2356
08300	SO	Sales Order	20073424	2020-05-20	1	21	1	21	1	20	0
08300	SO	Sales Order	20075792	2020-05-20	1	7	1	7	1	7	0
08300	ST	Transfer Sales Order	20073182	2020-05-20	1	15	1	15	1	12	14345
08300	SZ	EDI Sales Order	20072787	2020-05-20	1	1	1	1	1	1	19
08300	SZ	EDI Sales Order	20073009	2020-05-20	1	3	1	3	1	3	610
08300	SZ	EDI Sales Order	20073041	2020-05-20	1	1	1	1	1	1	1250
08300	SZ	EDI Sales Order	20073128	2020-05-20	1	2	1	2	1	2	1671
08300	SZ	EDI Sales Order	20073213	2020-05-20	1	3	1	3	1	3	1776
08300	SZ	EDI Sales Order	20073288	2020-05-20	1	1	1	1	1	1	854
08300	SZ	EDI Sales Order	20073360	2020-05-20	1	22	1	22	1	19	14484
08300	SZ	EDI Sales Order	20073769	2020-05-20	1	7	1	7	1	7	2006
08300	SZ	EDI Sales Order	20073774	2020-05-20	1	1	1	1	1	1	334
08300	DI	Deemed Invoice (Rev)	20000393	2020-05-21	1	115	1	115	1	115	-64933
08300	S4	Do Not Use	20074173	2020-05-22	1	1	1	1	1	1	0
08300	S4	Do Not Use	20074175	2020-05-22	1	2	1	2	1	2	0
08300	SO	Sales Order	20073934	2020-05-22	1	1	1	1	1	1	1090
08300	SZ	EDI Sales Order	20073799	2020-05-22	1	1	1	1	1	1	451
08300	SZ	EDI Sales Order	20073879	2020-05-22	1	2	1	2	1	2	2240
08300	DC	Deemed Commission Invoice	20000401	2020-05-23	1	44	1	44	1	44	10870
08300	CF	Misc Credit	20075022	2020-05-25	1	1	1	1	1	1	-705
08300	DQ	Miscellaneous Debit	20074670	2020-05-25	1	1	1	1	1	1	1084
08300	S4	Do Not Use	20075040	2020-05-25	1	1	1	1	1	1	0
08300	S4	Do Not Use	20075285	2020-05-25	1	1	1	1	1	1	0
08300	SO	Sales Order	20074668	2020-05-25	1	6	1	6	0	0	48557
08300	SO	Sales Order	20074867	2020-05-25	1	2	1	2	1	2	0
08300	SO	Sales Order	20074879	2020-05-25	1	4	1	4	1	4	500
08300	SO	Sales Order	20075004	2020-05-25	1	1	1	1	0	0	0
08300	SO	Sales Order	20075186	2020-05-25	1	1	1	1	1	1	104
08300	SO	Sales Order	20075255	2020-05-25	1	1	1	1	1	1	1047
08300	SZ	EDI Sales Order	20074720	2020-05-25	1	2	1	2	1	2	576
08300	SZ	EDI Sales Order	20074873	2020-05-25	1	3	1	3	1	3	3246
08300	SZ	EDI Sales Order	20074880	2020-05-25	1	1	1	1	1	1	142
08300	SZ	EDI Sales Order	20074883	2020-05-25	1	1	1	1	1	1	716
08300	SZ	EDI Sales Order	20074896	2020-05-25	1	2	1	2	1	2	499
08300	SZ	EDI Sales Order	20074950	2020-05-25	1	1	1	1	1	1	2340
08300	SZ	EDI Sales Order	20075014	2020-05-25	1	1	1	1	1	1	1555
08300	SZ	EDI Sales Order	20075408	2020-05-25	1	2	1	2	1	2	5760
08300	DB	Deemed Commission CrNote	20000259	2020-05-26	1	1	1	1	1	1	0
08300	DH	Deemed CrNote (Rev)	20000260	2020-05-26	1	2	1	2	1	2	1961
08300	DH	Deemed CrNote (Rev)	20000269	2020-05-26	1	16	1	16	1	16	6669
08300	S4	Do Not Use	20075636	2020-05-26	1	3	1	3	1	3	0
08300	S4	Do Not Use	20075770	2020-05-26	1	1	1	1	1	1	0
08300	S4	Do Not Use	20075864	2020-05-26	1	1	1	1	1	1	0
08300	SO	Sales Order	20076100	2020-05-26	1	2	1	2	1	1	140
08300	SO	Sales Order	20075443	2020-05-26	1	1	1	1	1	1	18944
08300	SO	Sales Order	20075454	2020-05-26	1	1	1	1	1	1	1120
08300	SO	Sales Order	20075515	2020-05-26	1	1	1	1	0	0	0
08300	SO	Sales Order	20075522	2020-05-26	1	2	1	2	1	2	0
