"RELADDR2","customer","bill type","SIC","billtype description","Search type","searchtype description","Long key","Customer name","Address 1","Address 2","Address 3","Town","Postal code","PRICING_SCHEDULE","SCHED_DESCRIPTION","Country code","Category 02","CUSTOMER_NATURE_DESCRIPTION","Category 21","CATEGORY_DESCRIPTION"
1001999,1001999,"S","USADDR","Ship To Address Only","W","Warehouse","1SV","1SV EARTH CITY, MISSOURI (CAH DC PAPER)","13636 LAKE FRONT DR","","","EARTH CITY","63045-1403","IC","Intercompany Transaction","US","","","",""
1036130,1036130,"S","CANADDR","Ship To Address Only","W","Warehouse","130","VAUGHAN BRANCH 130","777 CREDITSTONE RD","","","VAUGHAN","L4K 5R5","IC","Intercompany Transaction","CA","200","Inter-Company","",""
3011526,3011526,"S","EMEA","Ship To Address Only","W","Warehouse","CZ00B1D","BAXTER DUMMY B/P CZ","","","KARLA ENGLISE 3201/6","Praha 5","15000","IC","Intercompany Transaction","CZ","200","Inter-Company","",""
3045731,3045731,"S","EMEA","Ship To Address Only","W","Warehouse","TK00BTK3","Baxter Turkey Renal PD","CENDERE YOLU","PIRNAL KECELI BAHCESI","AYAZAGA","ISTANBUL","34390","IC","Intercompany Transaction","TR","200","Inter-Company","",""
3045733,3045733,"S","EMEA","Ship To Address Only","W","Warehouse","TK10BTK3","Baxter Turkey Renal PD Ankara","Ornek Sanayi Bulvari 1262.Sokak No:1","","","OSTIM/ANKARA","06374","IC","Intercompany Transaction","TR","200","Inter-Company","",""
3061635,3061635,"S","EMEA","Ship To Address Only","W","Warehouse","PL00B1D","BAXTER DUMMY B/P PL","osiedle Pass 21C","MAGAZYN","","BLONIE","05-870","IC","Intercompany Transaction","PL","200","Inter-Company","",""
3301400,3301400,"S","LATAM","Ship To Address Only","W","Warehouse","","LABORATORIOS BAXTER S.A.","","USUARIO ADUANERO PERMANENTE","DESCARGUE DIRECTO BOGOTA- COLOMBIA","BOGOTA","","IC","Intercompany Transaction","CO","200","Inter-Company","",""
7325001,7325001,"S","EMEA","Ship To Address Only","W","Warehouse","BEXXSAL","BAXALTA Belgium Sprl Local Sales BP BE","Parc de l'Alliance","Avenue de Finlande 2","","Braine L'Alleud","1420","IC","Intercompany Transaction","BE","200","Inter-Company","",""
7325002,7325002,"S","EMEA","Ship To Address Only","W","Warehouse","BEXXI1C","BAXALTA Belgium Sprl B&S Consi BE","","Chemin de Papignies 17b","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
7325003,7325003,"S","EMEA","Ship To Address Only","W","Warehouse","BEACIB1","BAXALTA BELGIUM SPRL BE - CF EDC MO","C/O Baxter Distribution Centre Europe SA","Chemin de Papignies 17b","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
7325004,7325004,"S","EMEA","Ship To Address Only","W","Warehouse","BEABIB1","BAXALTA BELGIUM SPRL BE - CF EDC WMS","C/O Baxter Distribution Centre Europe SA","Boulevard René Branquart 80","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
7325005,7325005,"S","EMEA","Ship To Address Only","W","Warehouse","BEAAIB1","BAXALTA BELGIUM SPRL BE - CF EDC","C/O Baxter Distribution Centre Europe SA","Boulevard René Branquart 80","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
7327001,7327001,"S","EMEA","Ship To Address Only","W","Warehouse","BEXXIB3","BAXALTA SERVICES EUROPE SPRL","C/O Baxter Distribution Center Europe SA","Chemin de Papignies 17b","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
7332001,7332001,"S","EMEA","Ship To Address Only","W","Warehouse","BEXXIB2","BAXALTA BELGIUM MANUFACTURING SA","C/O Baxter Distribution Centre Europe SA","Chemin de Papignies 17b","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8000152,8000152,"S","EMEA","Ship To Address Only","W","Warehouse","DE01BD1","BAXTER Höchstadt Buy/Sell main WHS","Am Aischpark 9","","","Höchstadt a. d. Aisch","91315","IC","Intercompany Transaction","DE","200","Inter-Company","",""
8000158,8000158,"S","EMEA","Ship To Address Only","W","Warehouse","DE00BD1","Baxter Germany GmbH - Billing OUT","Am Aischpark 9","","","Höchstadt a. d. Aisch","91315","IC","Intercompany Transaction","DE","200","Inter-Company","",""
8152719,8152719,"S","EMEA","Ship To Address Only","W","Warehouse","CH00BC1","Baxter Switzerland - Billing OUT","Vogelsangstrasse 28","","","Effretikon","8307","IC","Intercompany Transaction","CH","200","Inter-Company","",""
8159001,8159001,"S","EMEA","Ship To Address Only","W","Warehouse","BE01P00","Lessines principal owned","Chemin de Papignies 17b","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8159047,8159047,"S","EMEA","Ship To Address Only","W","Warehouse","BE01PS0","BHSA(BSE) WCS Repl","Chemin de Papignies 17b","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8159048,8159048,"S","EMEA","Ship To Address Only","W","Warehouse","BE01PS3","BHSA(BSE) BL","Chemin de Papignies 17b","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8159049,8159049,"S","EMEA","Ship To Address Only","W","Warehouse","BE10PS0","BHSA(BSE) WMS Repl","Chemin de Papignies 17b","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8159050,8159050,"S","EMEA","Ship To Address Only","W","Warehouse","BE10PS3","BHSA(BSE) BG","Chemin de Papignies 17b","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8159053,8159053,"S","EMEA","Ship To Address Only","W","Warehouse","BE12PS0","BHSA(BSE) Tech Serv Repl","C/O BDCE - Reception B2 - ECSP","Chemin de Papignies 17b - Bldg B2","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8159636,8159636,"S","EMEA","Ship To Address Only","W","Warehouse","PL00PRD","BHSA DUMMY B/P PL","Pass 21 (Metropol)","","","Blonie","","IC","Intercompany Transaction","PL","200","Inter-Company","",""
8159711,8159711,"S","EMEA","Ship To Address Only","W","Warehouse","CH00PRI","BHSA SWITZERLAND","THURGAUERSTRASSE 130","POSTFACH","THURGAUERSTRASSE 130","CITY GLATTPARK","8152","IC","Intercompany Transaction","CH","200","Inter-Company","",""
8159777,8159777,"S","EMEA","Ship To Address Only","W","Warehouse","SE12PS3","BHSA LUND","C/o Baxter Sweden/ Lund Distr","Center","SKIFFERVÄGEN 24","LUND","224 78","IC","Intercompany Transaction","SE","200","Inter-Company","",""
8201517,8201517,"S","EMEA","Ship To Address Only","W","Warehouse","AT00BA1","Baxter Austria - Billing OUT","KWIZDA PHARMADISTRIBUTION GMBH","","ACHAUERSTRASSE 2","LEOPOLDSDORF","2333","IC","Intercompany Transaction","AT","200","Inter-Company","",""
8255001,8255001,"S","EMEA","Ship To Address Only","W","Warehouse","BE00BB4","BAXTER R&D EUROPE S.P.R.L.","","","Parc de l'Alliance","Braine L'Alleud","1420","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8256001,8256001,"S","EMEA","Ship To Address Only","W","Warehouse","BE00BB6","BAXTER DIST CTR EUROPE MISC BILL","Chemin de Papignies 17b","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8261001,8261001,"S","EMEA","Ship To Address Only","W","Warehouse","BE01BB3","OBSOLETE BSE LESSINES - BL","Chemin de Papignies 17b","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8261002,8261002,"S","EMEA","Ship To Address Only","W","Warehouse","BE10BB3","OBSOLETE BSE LESSINES - BI","Chemin de Papignies 17b","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8261007,8261007,"S","EMEA","Ship To Address Only","W","Warehouse","BE00BB3","OBSOLETE BAXTER SERVICES EUROPE MISCBILL","C/O Baxter Distribution Centre Europe","Reception B2 - ECSP","Chemin de Papignies 17b","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8261008,8261008,"S","EMEA","Ship To Address Only","W","Warehouse","BE00B3D","OBSOLETE BAXTER DUMMY B/P BE (BSE)","Chemin de Papignies 17b","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8261009,8261009,"S","EMEA","Ship To Address Only","W","Warehouse","BE01B30","OBSOLETE BSE WCS Repl","Chemin de Papignies 17b","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8261013,8261013,"S","EMEA","Ship To Address Only","W","Warehouse","BE10B30","OBSOLETE BSE WMS Repl","Chemin de Papignies 17b","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8261021,8261021,"S","EMEA","Ship To Address Only","W","Warehouse","BE12B30","OBSOLETE BSE Tech Serv Repl","C/O BDCE - Reception B2 - ECSP","Chemin de Papignies 17b - Bldg B2","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8261702,8261702,"S","EMEA","Ship To Address Only","W","Warehouse","SE12BB3","OBSOLETE BAXTER SERVICES EUROPE LUND","C/o Baxter Sweden/ Lund Distr","Center","SKIFFERVÄGEN 24","LUND","224 78","IC","Intercompany Transaction","SE","200","Inter-Company","",""
8263002,8263002,"S","EMEA","Ship To Address Only","W","Warehouse","BE01BB1","Buy sell stock entity (SPRL) - Lessines","Boulevard René Branquart 80","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8263004,8263004,"S","EMEA","Ship To Address Only","W","Warehouse","BE00B1C","BAXTER SPRL CONSIGNMENT","Chemin de Papignies 17b","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8263009,8263009,"S","EMEA","Ship To Address Only","W","Warehouse","BE12BB1","BAXTER SPRL","Chemin de Papignies 17b","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8263011,8263011,"S","EMEA","Ship To Address Only","W","Warehouse","BE00B1D","BAXTER DUMMY B/P BE (SPRL)","Parc de l'Alliance","Boulevard d'Angleterre 2-4","","Braine L'Alleud","1420","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8263013,8263013,"S","EMEA","Ship To Address Only","W","Warehouse","BE00BB1","Baxter Belgium SPRL - Billing OUT","Boulevard René Branquart 80","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8263014,8263014,"S","EMEA","Ship To Address Only","W","Warehouse","BE12SB1","Baxter Belgium - Swap pool","Chemin de Papignies 17b","","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8263015,8263015,"S","EMEA","Ship To Address Only","W","Warehouse","BE14SB1","Baxter Belgium Raes Swap Pool","Moerstraat 48-50","","","Drongen","9031","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8265004,8265004,"S","EMEA","Ship To Address Only","W","Warehouse","BE00BC3","BAXTER A.G. ECEMEA BL Triangulation","EU Triangulation","Chemin de Papignies 17b","","Lessines","7860","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8300102,8300102,"S","EMEA","Ship To Address Only","W","Warehouse","FR01BF1","BAXTER S.A.S JONAGE","12 BOULEVARD MARCEL DASSAULT","","","JONAGE","69330","IC","Intercompany Transaction","FR","200","Inter-Company","",""
8300104,8300104,"S","EMEA","Ship To Address Only","W","Warehouse","FR00B1C","BAXTER S.A.S. CONSIGNMENT","IMMEUBLE BERLIOZ","4 bis rue de la Redoute","","GUYANCOURT","78280","IC","Intercompany Transaction","FR","200","Inter-Company","",""
8300109,8300109,"S","EMEA","Ship To Address Only","W","Warehouse","FR00BF1","Baxter France S.A.S - Billing OUT","12 BOULEVARD MARCEL DASSAULT","","","JONAGE","69330","IC","Intercompany Transaction","FR","200","Inter-Company","",""
8300110,8300110,"S","EMEA","Ship To Address Only","W","Warehouse","FR13SF1","Baxter France SAS - Swap pool Guyancourt","4 Bis Rue de la Redoute","","","Guyancourt","78280","IC","Intercompany Transaction","FR","200","Inter-Company","",""
8300121,8300121,"S","EMEA","Ship To Address Only","W","Warehouse","FR00B1T","Baxter FR TS - Virtual pending billing","IMMEUBLE BERLIOZ","4 bis rue de la Redoute","","GUYANCOURT","78280","IC","Intercompany Transaction","FR","200","Inter-Company","",""
8382602,8382602,"S","EMEA","Ship To Address Only","W","Warehouse","NL01BN1","Buy/sell - Utrecht","","","KOBALTWEG 49","UTRECHT","3542 CE","IC","Intercompany Transaction","NL","200","Inter-Company","",""
8382606,8382606,"S","EMEA","Ship To Address Only","W","Warehouse","NL00BN1","Baxter BV - Billing OUT","KOBALTWEG 49","","","UTRECHT","3542 CE","IC","Intercompany Transaction","NL","200","Inter-Company","",""
8382607,8382607,"S","EMEA","Ship To Address Only","W","Warehouse","NL01SN1","Baxter BV - Swap pool","Kobaltweg 49","","","UTRECHT","3542 CE","IC","Intercompany Transaction","NL","200","Inter-Company","",""
8382608,8382608,"S","EMEA","Ship To Address Only","W","Warehouse","NL00B1T","Baxter NL TS - Virtual pending billing","KOBALTWEG 49","","","UTRECHT","3542 CE","IC","Intercompany Transaction","NL","200","Inter-Company","",""
8400219,8400219,"S","EMEA","Ship To Address Only","W","Warehouse","IT00BI1","Baxter Italy SpA - Billing OUT","VIA TRENTINO 18/20","","","MONSELICE","35043","IC","Intercompany Transaction","IT","200","Inter-Company","",""
8400221,8400221,"S","EMEA","Ship To Address Only","W","Warehouse","IT26SI1","Baxter Italy - Swap pool","VIA CAMURANA 71","","","MEDOLLA","41036","IC","Intercompany Transaction","IT","200","Inter-Company","",""
8450303,8450303,"S","EMEA","Ship To Address Only","W","Warehouse","ES01BE1","BAXTER S.L. VALENCIA","","Pol. Ind. Sector 14","c/Pouet de Camilo, Parcela 2.1 Nave 1","Valencia","46394","IC","Intercompany Transaction","ES","200","Inter-Company","",""
8450309,8450309,"S","EMEA","Ship To Address Only","W","Warehouse","ES00BE1","Baxter Spain - Billing OUT","","Pol. Ind. Sector 14","c/Pouet de Camilo, Parcela 2.1 Nave 1","Valencia","46394","IC","Intercompany Transaction","ES","200","Inter-Company","",""
8480653,8480653,"S","EMEA","Ship To Address Only","W","Warehouse","PT01BP1","BAXTER MEDICO FARMACEUTICA","SINTRA BUSINESS PARK","ZONA INDUSTRIAL DA ABRUNHEIRA","EDIFICIO 10","SINTRA","2710-089","IC","Intercompany Transaction","PT","200","Inter-Company","",""
8480656,8480656,"S","EMEA","Ship To Address Only","W","Warehouse","PT00BP1","Baxter Portugal - Billing OUT","SINTRA BUSINESS PARK","ZONA INDUSTRIAL DA ABRUNHEIRA","EDIFICIO 10","SINTRA","2710-089","IC","Intercompany Transaction","PT","200","Inter-Company","",""
8480660,8480660,"S","EMEA","Ship To Address Only","W","Warehouse","PT00B1T","Baxter PT TS - Virtual pending billing","SINTRA BUSINESS PARK","ZONA INDUSTRIAL DA ABRUNHEIRA","EDIFICIO 10","SINTRA","2710-089","IC","Intercompany Transaction","PT","200","Inter-Company","",""
8487591,8487591,"S","EMEA","Ship To Address Only","W","Warehouse","MT00BM1","BAXTER (MALTA) TRADING.CO.LTD.","A47 INDUSTRIAL ESTATE","","","MARSA MALTA","HRM O15","IC","Intercompany Transaction","MT","200","Inter-Company","",""
8490568,8490568,"S","EMEA","Ship To Address Only","W","Warehouse","GR00B1D","Baxter Greece   dummy BP","34 Etnarhou Makariou Str.","","","Illioupolis, Athens","16341","IC","Intercompany Transaction","GR","200","Inter-Company","",""
8500532,8500532,"S","EMEA","Ship To Address Only","W","Warehouse","DK01BK1","BAXTER A.S. SOBORG","Tobaksvejen 2A","","","Soborg","2860","IC","Intercompany Transaction","DK","200","Inter-Company","",""
8500536,8500536,"S","EMEA","Ship To Address Only","W","Warehouse","DK00BK1","Baxter Denmark - Billing OUT","Tobaksvejen 2A","","","Soborg","2860","IC","Intercompany Transaction","DK","200","Inter-Company","",""
8501552,8501552,"S","EMEA","Ship To Address Only","W","Warehouse","FI01BV1","BAXTER OY HELSINKI","HTC Nina, 2. krs","Tammasaarenkatu 1","PL 119","Helsinki","00181","IC","Intercompany Transaction","FI","200","Inter-Company","",""
8501556,8501556,"S","EMEA","Ship To Address Only","W","Warehouse","FI00BV1","Baxter Finland - Billing OUT","HTC Nina, 2. krs","Tammasaarenkatu 1","PL 119","Helsinki","00181","IC","Intercompany Transaction","FI","200","Inter-Company","",""
8502622,8502622,"S","EMEA","Ship To Address Only","W","Warehouse","NO01BO1","BAXTER A.S. OSLO","Gjerdrumsvei 11","","","OSLO","0484","IC","Intercompany Transaction","NO","200","Inter-Company","",""
8502626,8502626,"S","EMEA","Ship To Address Only","W","Warehouse","NO00BO1","Baxter Norway - Billing OUT","Gjerdrumsvei 11","","","OSLO","0484","IC","Intercompany Transaction","NO","200","Inter-Company","",""
8503703,8503703,"S","EMEA","Ship To Address Only","W","Warehouse","SE01BS1","BAXTER SWEDEN A.B. ROSERSBERG","","","Metallvägen 47","Rosersberg","195 72","IC","Intercompany Transaction","SE","200","Inter-Company","",""
8503708,8503708,"S","EMEA","Ship To Address Only","W","Warehouse","SE00BS1","Baxter Sweden - Billing OUT","","","Metallvagen 47","Rosersberg","195 72","IC","Intercompany Transaction","SE","200","Inter-Company","",""
8525001,8525001,"S","EMEA","Ship To Address Only","W","Warehouse","BE00BS2","Gambro Lundia AB Belgium Branch","BAXTER World Trade","Boulevard d'Angleterre 2-4","","Braine-l'Alleud","1420","IC","Intercompany Transaction","BE","200","Inter-Company","",""
8525101,8525101,"S","EMEA","Ship To Address Only","W","Warehouse","FR00BS2","Gambro Lundia FR - DC Meyzieu","C/O Gambro France","DC Meyzieu","7 Avenue Lionel Terray","Meyzieu Cedex","69883","IC","Intercompany Transaction","FR","200","Inter-Company","",""
8525151,8525151,"S","EMEA","Ship To Address Only","W","Warehouse","DE00BS2","Gambro Lundia DE - DC Hechingen","Fisc.Repres. Gambro Dialysatoren GmbH","DC Hechingen","Holger Crafoord Str. 26","Hechingen","72379","IC","Intercompany Transaction","DE","200","Inter-Company","",""
8525201,8525201,"S","EMEA","Ship To Address Only","W","Warehouse","IT00BS2","Gambro Lundia IT - DC Medolla","C/O Gambro Dasco Spa","DC Mirandolla","Via Modenese 66","Medolla (MO)","43136","IC","Intercompany Transaction","IT","200","Inter-Company","",""
8525701,8525701,"S","EMEA","Ship To Address Only","W","Warehouse","SE00BS2","Gambro Lundia SE - DC Lund","DC Lund","Warehouse","Skiffervägen 24","LUND","224 78","IC","Intercompany Transaction","SE","200","Inter-Company","",""
8550252,8550252,"S","EMEA","Ship To Address Only","W","Warehouse","GB11BG1","BAXTER HEALTHCARE LTD BELFAST","1 West Bank Road","","","Belfast","BT3 9JL","IC","Intercompany Transaction","GB","200","Inter-Company","",""
8550254,8550254,"S","EMEA","Ship To Address Only","W","Warehouse","GB01BG1","BHL UK – NDC CF WH","Salthouse Road","BRACKSMILLS","","NORTHAMPTON","NN4 7UF","IC","Intercompany Transaction","GB","200","Inter-Company","",""
8550278,8550278,"S","EMEA","Ship To Address Only","W","Warehouse","","Baxter UK - Billing OUT","","","","","","IC","Intercompany Transaction","GB","200","Inter-Company","",""
8559587,8559587,"S","EMEA","Ship To Address Only","W","Warehouse","IE00BR1","Baxter Ireland - Billing OUT","Unit 7 Deansgrange Business Park","Blackrock","","Dublin","","IC","Intercompany Transaction","IE","200","Inter-Company","",""
46065502,46065502,"B","B","Bill To Address Only","C","Customers","BE200558","HEILIG HART ZIEK.DIALYSE VZW","CREDITEURENADMINISTRATIE.","","MECHELSESTRAAT, 24","LIER","2500","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
